Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR23126333,2023-09-07 15:36:32,2023-01-19 15:04:33,164856,74019882,164856,448,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126333/SRR23126333.lite.1,SRX19077281,m1_1_8_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492240,SAMN32798683,simple,662107,phyllosphere metagenome,m1_1_8,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,909B0A09452DECF0887201CBEAEAB041,3CA88CCBF8E8D952EA6DA716CBD976BD
SRR23126332,2023-09-07 15:36:32,2023-01-19 15:04:03,184882,82456603,184882,445,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126332/SRR23126332.lite.1,SRX19077282,m3_1_1F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492242,SAMN32798746,simple,662107,phyllosphere metagenome,m3_1_1F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,F768D46FE34046160CEECFCAB6E25DBA,213544BD35F009FB142CB42A754FE9D9
SRR23126335,2023-09-07 15:36:33,2023-01-19 15:04:05,152055,67816066,152055,445,22,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126335/SRR23126335.lite.1,SRX19077279,m3_2_10F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492239,SAMN32798744,simple,662107,phyllosphere metagenome,m3_2_10F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,D979715B0BA141C9A47B8AC561BDD655,7D1804EEF7242950F5FA5BF2E62B2E8C
SRR23126334,2023-09-07 15:36:32,2023-01-19 15:04:32,187981,83838424,187981,445,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126334/SRR23126334.lite.1,SRX19077280,m3_2_11F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492241,SAMN32798745,simple,662107,phyllosphere metagenome,m3_2_11F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,D2FF4D265F6ECC09E4A9E5E626A57AFB,453D163DE48A772EE1A9B49DAC2FD2C6
SRR23126336,2023-09-07 15:36:33,2023-01-19 15:04:32,166953,74460622,166953,445,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126336/SRR23126336.lite.1,SRX19077278,m3_2_9F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492238,SAMN32798743,simple,662107,phyllosphere metagenome,m3_2_9F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,1E793100888AB8E74E73FEBAA9B4B93A,6FE3DEE54CCA440A6906426117D2CDCA
SRR23126341,2023-09-07 15:36:33,2023-01-19 15:04:42,165451,73790593,165451,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126341/SRR23126341.lite.1,SRX19077273,m3_2_4F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492233,SAMN32798738,simple,662107,phyllosphere metagenome,m3_2_4F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,33C455DCD68CF473B1FC0A5B6778A0EF,4CA855EBC4E4A03CF5CDA8098D083BF2
SRR23126340,2023-09-07 15:36:33,2023-01-19 15:04:32,177262,79058260,177262,445,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126340/SRR23126340.lite.1,SRX19077274,m3_2_5F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492234,SAMN32798739,simple,662107,phyllosphere metagenome,m3_2_5F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,0E60C0A3F23D486E88A2E68E5EDBD257,D7D56D3A74D3071125367A01CAA4BF61
SRR23126339,2023-09-07 15:36:33,2023-01-19 15:04:43,163954,73122838,163954,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126339/SRR23126339.lite.1,SRX19077275,m3_2_6F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492235,SAMN32798740,simple,662107,phyllosphere metagenome,m3_2_6F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,A868B6D686411C4E0B4A23B4CE5C4BB1,4B4E7C5CB59075402BB68160EF12B4B0
SRR23126338,2023-09-07 15:36:33,2023-01-19 15:04:40,169569,75627194,169569,445,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126338/SRR23126338.lite.1,SRX19077276,m3_2_7F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492236,SAMN32798741,simple,662107,phyllosphere metagenome,m3_2_7F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,9557B91EC30B20B18BE72A6815065765,AE3287456D96AE3CB3EAFB48EC00454A
SRR23126337,2023-09-07 15:36:33,2023-01-19 15:03:57,170547,76063468,170547,445,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126337/SRR23126337.lite.1,SRX19077277,m3_2_8F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492237,SAMN32798742,simple,662107,phyllosphere metagenome,m3_2_8F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,620396819B489962729D35505DFC918D,36B25C2418A955241DB765CF3AD5FC70
